,word,num_phones,prob,num_sylls_est,surprisal,lexicon,num_homophones,neighborhood_size,mode
0,5pa,3,-4.6933591266286765,2,4.6933591266286765,1,0,10,anti_homophones_plus
1,min°Ri,6,-4.895600818527963,3,4.895600818527963,1,0,2,anti_homophones_plus
2,devizjonist,11,-7.3125647161476905,4,7.3125647161476905,1,0,0,anti_homophones_plus
3,k§t,3,-3.835318109428614,1,3.835318109428614,1,2,25,anti_homophones_plus
4,koRalZik°m@,11,-7.701881958927575,5,7.701881958927575,1,0,0,anti_homophones_plus
5,w5dR,4,-4.766142084022252,1,4.766142084022252,1,0,2,anti_homophones_plus
6,balipyRasj§,11,-9.803481945927455,5,9.803481945927455,1,0,0,anti_homophones_plus
7,dR2,3,-4.8337319261328915,1,4.8337319261328915,1,1,11,anti_homophones_plus
8,kalitive,8,-6.9337145357696315,4,6.9337145357696315,1,0,0,anti_homophones_plus
9,sOl,3,-3.8899692554405387,1,3.8899692554405387,1,2,24,anti_homophones_plus
10,paREtR,6,-5.014552561443794,2,5.014552561443794,1,0,4,anti_homophones_plus
11,aptimyl,7,-8.587775098718332,3,8.587775098718332,1,0,0,anti_homophones_plus
12,afisj§,6,-5.458260882216721,3,5.458260882216721,1,0,2,anti_homophones_plus
13,veneRaZe,8,-7.383311112086242,4,7.383311112086242,1,0,0,anti_homophones_plus
14,ogm@,4,-4.91400350693002,2,4.91400350693002,1,0,0,anti_homophones_plus
15,amase,5,-5.238806697930457,3,5.238806697930457,1,1,7,anti_homophones_plus
16,otEk,4,-5.072129180463383,2,5.072129180463383,1,1,7,anti_homophones_plus
17,detabl,6,-4.782243035349292,2,4.782243035349292,1,0,5,anti_homophones_plus
18,zigotaZ,7,-6.234206318258903,3,6.234206318258903,1,0,0,anti_homophones_plus
19,deRatyRboRja,12,-10.161811000670733,5,10.161811000670733,1,0,0,anti_homophones_plus
20,Regym@t°le,10,-7.810982488396614,5,7.810982488396614,1,0,0,anti_homophones_plus
21,5f@Zjozo,8,-9.48308177102516,4,9.48308177102516,1,0,0,anti_homophones_plus
22,kwik,4,-4.963475171423479,1,4.963475171423479,1,0,4,anti_homophones_plus
23,nevRiR,6,-4.994072660938384,2,4.994072660938384,1,0,4,anti_homophones_plus
24,s@tige,6,-6.456107065256295,3,6.456107065256295,1,0,0,anti_homophones_plus
25,lodifje,7,-6.525483104952756,3,6.525483104952756,1,0,0,anti_homophones_plus
26,@tizm,5,-4.072915904810162,2,4.072915904810162,1,1,11,anti_homophones_plus
27,k§s@tipesimisisinys,19,-18.62383815705443,9,18.62383815705443,1,0,0,anti_homophones_plus
28,Sin°m@,6,-4.97653658233745,3,4.97653658233745,1,1,8,anti_homophones_plus
29,mytamjEt,8,-8.742650446846985,3,8.742650446846985,1,0,0,anti_homophones_plus
30,RekOliwu,8,-10.478754092262687,4,10.478754092262687,1,0,0,anti_homophones_plus
31,kRoSaZ,6,-5.167123573156022,2,5.167123573156022,1,0,4,anti_homophones_plus
32,@majonEl,8,-6.906050072876154,4,6.906050072876154,1,0,0,anti_homophones_plus
33,epidabl°m@,10,-6.880093871062626,5,6.880093871062626,1,0,0,anti_homophones_plus
34,abolite,7,-5.436488133467998,4,5.436488133467998,1,0,2,anti_homophones_plus
35,sim,3,-3.741561306514329,1,3.741561306514329,1,4,34,anti_homophones_plus
36,Rabi,4,-5.1136123710882275,2,5.1136123710882275,1,0,21,anti_homophones_plus
37,gonimak,7,-8.561286004384485,3,8.561286004384485,1,0,0,anti_homophones_plus
38,psik,4,-3.9001912612293146,1,3.9001912612293146,1,3,10,anti_homophones_plus
39,OpstRafi,8,-7.0781362239955605,3,7.0781362239955605,1,0,0,anti_homophones_plus
40,ben5,4,-5.192804526676939,2,5.192804526676939,1,0,8,anti_homophones_plus
41,amasist,7,-6.797496493934129,3,6.797496493934129,1,0,1,anti_homophones_plus
42,dezav2luke,10,-7.887713023618843,5,7.887713023618843,1,0,0,anti_homophones_plus
43,denasjobylER,12,-11.029013065321545,5,11.029013065321545,1,0,0,anti_homophones_plus
44,@bRut9R,7,-6.2247316857436195,3,6.2247316857436195,1,0,2,anti_homophones_plus
45,Rake,4,-4.457396372527264,2,4.457396372527264,1,1,21,anti_homophones_plus
46,ol5Zj5,6,-6.133408342487149,3,6.133408342487149,1,0,1,anti_homophones_plus
47,efeme,5,-6.265724259048279,3,6.265724259048279,1,0,1,anti_homophones_plus
48,R°tR@spozif,11,-8.161517160569893,4,8.161517160569893,1,0,0,anti_homophones_plus
49,k§vylgaRyR,10,-7.859704966710715,4,7.859704966710715,1,0,0,anti_homophones_plus
50,golE,4,-4.8785225360415865,2,4.8785225360415865,1,1,10,anti_homophones_plus
51,siNityd,7,-5.942763043616943,3,5.942763043616943,1,0,0,anti_homophones_plus
52,paREstiso,9,-9.11870454398025,4,9.11870454398025,1,0,0,anti_homophones_plus
53,fovideRal,9,-8.473754553180505,4,8.473754553180505,1,0,0,anti_homophones_plus
54,m§tik°m@,8,-6.645173499228336,4,6.645173499228336,1,0,1,anti_homophones_plus
55,alkovaR,7,-7.741448932443574,3,7.741448932443574,1,0,0,anti_homophones_plus
56,sypRasi,7,-8.454921930161388,3,8.454921930161388,1,0,1,anti_homophones_plus
57,pRoke,5,-4.771465683691071,2,4.771465683691071,1,1,10,anti_homophones_plus
58,aRtRonokyl@,11,-10.184590619358906,5,10.184590619358906,1,0,0,anti_homophones_plus
59,kaRm°na,7,-7.692912974394107,3,7.692912974394107,1,0,0,anti_homophones_plus
60,adRimoni,8,-9.035256504220861,4,9.035256504220861,1,0,0,anti_homophones_plus
61,lezibl,6,-6.363556249912416,2,6.363556249912416,1,0,0,anti_homophones_plus
62,elje,4,-4.557376827270848,2,4.557376827270848,1,2,8,anti_homophones_plus
63,@dORm,5,-5.01309920055082,2,5.01309920055082,1,1,2,anti_homophones_plus
64,vEstj§,6,-5.02282746684644,2,5.02282746684644,1,0,4,anti_homophones_plus
65,Rabl°m@,7,-4.1730087414035415,3,4.1730087414035415,1,1,13,anti_homophones_plus
66,@goRik°m@,9,-7.288470202904394,5,7.288470202904394,1,0,0,anti_homophones_plus
67,gij°m@,6,-4.29454646447474,3,4.29454646447474,1,1,4,anti_homophones_plus
68,disto,5,-5.371092218210046,2,5.371092218210046,1,0,5,anti_homophones_plus
69,ResEl,5,-5.639048146165121,2,5.639048146165121,1,0,5,anti_homophones_plus
70,ble,3,-3.7379501261154595,1,3.7379501261154595,1,3,30,anti_homophones_plus
71,plyRe,5,-5.107501860630369,2,5.107501860630369,1,1,6,anti_homophones_plus
72,deplis°m@,9,-5.902872325388415,4,5.902872325388415,1,0,1,anti_homophones_plus
73,av§,3,-4.608131039333582,2,4.608131039333582,1,0,18,anti_homophones_plus
74,maRsEkspEktaRint,16,-14.43340386460413,5,14.43340386460413,1,0,0,anti_homophones_plus
75,dezoblEz@tRist@s,16,-13.292913878882924,6,13.292913878882924,1,0,0,anti_homophones_plus
76,5tER,4,-2.9234650183840034,2,2.9234650183840034,1,10,53,anti_homophones_plus
77,akOR,4,-4.815253305066632,2,4.815253305066632,1,0,14,anti_homophones_plus
78,mwajad,6,-5.769871691439733,2,5.769871691439733,1,0,2,anti_homophones_plus
79,kolj@dR,7,-7.39448024782627,2,7.39448024782627,1,0,0,anti_homophones_plus
80,mwa,3,-4.068426614976618,1,4.068426614976618,1,1,22,anti_homophones_plus
81,kREm@tal,8,-7.486153045409314,3,7.486153045409314,1,0,0,anti_homophones_plus
82,sime,4,-4.30141582496899,2,4.30141582496899,1,2,27,anti_homophones_plus
83,fR°m@,5,-4.601101684626587,2,4.601101684626587,1,1,11,anti_homophones_plus
84,api,3,-4.4644950568127415,2,4.4644950568127415,1,1,41,anti_homophones_plus
85,seRimistigaRnasetan,19,-18.686716413072713,8,18.686716413072713,1,0,0,anti_homophones_plus
86,tom@dim@seROp,13,-13.498689581727536,6,13.498689581727536,1,0,0,anti_homophones_plus
87,SaRjOl°m@,9,-7.599902442158633,4,7.599902442158633,1,0,0,anti_homophones_plus
88,vERbOlinostitimetize,20,-18.907158124057144,9,18.907158124057144,1,0,0,anti_homophones_plus
89,aksj§,5,-3.646991678347404,2,3.646991678347404,1,3,24,anti_homophones_plus
