,word,num_phones,prob,num_sylls_est,surprisal,lexicon,num_homophones,neighborhood_size,mode
0,eljoRe5fEktyREn,15,-14.410079663933127,7,14.410079663933127,1,0,0,anti_homophones_plus
1,sapola,6,-6.987710145804938,3,6.987710145804938,1,0,1,anti_homophones_plus
2,sER,3,-3.49074747101979,1,3.49074747101979,1,3,40,anti_homophones_plus
3,akORne,6,-5.327198258546991,3,5.327198258546991,1,0,2,anti_homophones_plus
4,mER,3,-3.652393927474369,1,3.652393927474369,1,2,39,anti_homophones_plus
5,kEl5f,5,-7.767417834014109,2,7.767417834014109,1,0,0,anti_homophones_plus
6,b@kEt,5,-4.736616735869374,2,4.736616735869374,1,1,4,anti_homophones_plus
7,§d,2,-4.581170986632607,1,4.581170986632607,1,0,12,anti_homophones_plus
8,pj2z°m@,7,-4.687642249690026,3,4.687642249690026,1,1,3,anti_homophones_plus
9,syRvER,6,-5.30240921949607,2,5.30240921949607,1,0,2,anti_homophones_plus
10,vwajotize,9,-7.4909972669312515,4,7.4909972669312515,1,0,0,anti_homophones_plus
11,pRoviRZito,10,-8.977073209505349,4,8.977073209505349,1,0,0,anti_homophones_plus
12,p§tSo,5,-5.017349655202438,2,5.017349655202438,1,1,2,anti_homophones_plus
13,ReZelimatyR,11,-9.65346204177734,5,9.65346204177734,1,0,0,anti_homophones_plus
14,R@bulOt,7,-6.764189588058821,3,6.764189588058821,1,0,1,anti_homophones_plus
15,gaRdijonist,11,-9.006304513193504,4,9.006304513193504,1,0,0,anti_homophones_plus
16,dub9R,5,-5.228338838831289,2,5.228338838831289,1,0,2,anti_homophones_plus
17,bygl,4,-4.834393917445228,1,4.834393917445228,1,1,3,anti_homophones_plus
18,debilite,8,-4.575076164984525,4,4.575076164984525,1,1,3,anti_homophones_plus
19,Raf,3,-3.833902806905336,1,3.833902806905336,1,2,26,anti_homophones_plus
20,tus9R,5,-4.6289119365781515,2,4.6289119365781515,1,1,2,anti_homophones_plus
21,kaR,3,-3.294975314987711,1,3.294975314987711,1,9,64,anti_homophones_plus
22,5kly,4,-4.8324781801927905,2,4.8324781801927905,1,0,6,anti_homophones_plus
23,pROplasesibi,12,-12.11555299035009,5,12.11555299035009,1,0,0,anti_homophones_plus
24,Egl,3,-4.50750993077718,1,4.50750993077718,1,1,5,anti_homophones_plus
25,RezORsonokRasj§,15,-10.913062753768806,6,10.913062753768806,1,0,0,anti_homophones_plus
26,bR8i,4,-4.342009395867424,1,4.342009395867424,1,0,6,anti_homophones_plus
27,tRapatORtaZ,11,-10.161222787208075,4,10.161222787208075,1,0,0,anti_homophones_plus
28,plij@gyl@,9,-8.175994710659936,4,8.175994710659936,1,0,0,anti_homophones_plus
29,monal,5,-4.669610747282003,2,4.669610747282003,1,1,9,anti_homophones_plus
30,aRsibiskyRde,12,-12.312232311681255,5,12.312232311681255,1,0,0,anti_homophones_plus
31,kRezym@te,9,-7.9106829034999,4,7.9106829034999,1,0,0,anti_homophones_plus
32,destasj§,8,-5.167479876665416,3,5.167479876665416,1,0,1,anti_homophones_plus
33,penalit,7,-6.333722013143161,3,6.333722013143161,1,0,2,anti_homophones_plus
34,defREd9R,8,-7.986046326139808,3,7.986046326139808,1,0,0,anti_homophones_plus
35,kom@dabl,8,-5.7553991702618905,3,5.7553991702618905,1,0,0,anti_homophones_plus
36,paRtawaj@,9,-8.465116672668593,4,8.465116672668593,1,0,0,anti_homophones_plus
37,bene,4,-4.1207152501458255,2,4.1207152501458255,1,2,18,anti_homophones_plus
38,inemoRe,7,-7.157995792628885,4,7.157995792628885,1,0,0,anti_homophones_plus
39,maRe,4,-3.9034816267411174,2,3.9034816267411174,1,2,45,anti_homophones_plus
40,s@gle,5,-4.762995176114967,2,4.762995176114967,1,0,3,anti_homophones_plus
41,afERtikylas,11,-9.59087346724814,5,9.59087346724814,1,0,0,anti_homophones_plus
42,komytal°m@,10,-7.125957730304554,5,7.125957730304554,1,0,0,anti_homophones_plus
43,5digaRit,8,-9.021208388351766,4,9.021208388351766,1,0,0,anti_homophones_plus
44,kzaR°lykse,10,-10.630047689023211,4,10.630047689023211,1,0,0,anti_homophones_plus
45,dERtiRpatine,12,-11.89743972016889,5,11.89743972016889,1,0,0,anti_homophones_plus
46,kRi,3,-3.8407016188205003,1,3.8407016188205003,1,2,32,anti_homophones_plus
47,ORg§dOlminim@te,15,-13.574183716357863,7,13.574183716357863,1,0,0,anti_homophones_plus
48,Repyte,6,-5.335968281498247,3,5.335968281498247,1,0,5,anti_homophones_plus
49,dekafuje,8,-6.172591449701917,4,6.172591449701917,1,0,0,anti_homophones_plus
50,idRolifje,9,-6.980726804022228,4,6.980726804022228,1,0,0,anti_homophones_plus
51,mat9R,5,-3.938388453282256,2,3.938388453282256,1,2,26,anti_homophones_plus
52,ZER,3,-3.866874249994366,1,3.866874249994366,1,4,29,anti_homophones_plus
53,paje,4,-4.066265183400594,2,4.066265183400594,1,1,36,anti_homophones_plus
54,RaRmakaN,8,-9.481131762491422,3,9.481131762491422,1,0,0,anti_homophones_plus
55,dERn@p,6,-9.684171379945067,2,9.684171379945067,1,0,0,anti_homophones_plus
56,syRt@d°Ri,9,-7.69208509809966,4,7.69208509809966,1,0,0,anti_homophones_plus
