,word,num_phones,prob,num_sylls_est,surprisal,lexicon,num_homophones,neighborhood_size,mode
0,mikRonist,9,-6.381259666760538,3,6.381259666760538,1,0,0,anti_homophones_plus
1,platRite,8,-6.589001837687114,3,6.589001837687114,1,0,2,anti_homophones_plus
2,paRk,4,-4.5206450719780635,1,4.5206450719780635,1,1,16,anti_homophones_plus
3,otoRistREv°m@,13,-10.672584614102528,6,10.672584614102528,1,0,0,anti_homophones_plus
4,deliZeRe,8,-6.162624924722261,4,6.162624924722261,1,0,0,anti_homophones_plus
5,amenalit,8,-7.399596430954567,4,7.399596430954567,1,0,0,anti_homophones_plus
6,apoli,5,-5.144558206861053,3,5.144558206861053,1,1,3,anti_homophones_plus
7,telEktibl,9,-6.006287818645864,3,6.006287818645864,1,0,0,anti_homophones_plus
8,tuRleasj§,9,-7.159979022046476,4,7.159979022046476,1,0,0,anti_homophones_plus
9,pRivwaj2z°m@stRabl°m@,21,-15.246829481306033,8,15.246829481306033,1,0,0,anti_homophones_plus
10,gRuj°m@,7,-5.249898299106871,3,5.249898299106871,1,0,2,anti_homophones_plus
11,gadusist,8,-6.701851316448975,3,6.701851316448975,1,0,0,anti_homophones_plus
12,piRafiS,7,-7.50360731967573,3,7.50360731967573,1,0,0,anti_homophones_plus
13,otomozaZe,9,-7.816401627226341,5,7.816401627226341,1,0,0,anti_homophones_plus
14,tRonin,6,-6.761377250572823,2,6.761377250572823,1,0,1,anti_homophones_plus
15,fRije,5,-4.418663118588086,2,4.418663118588086,1,2,20,anti_homophones_plus
16,pRese,5,-3.9060849875631307,2,3.9060849875631307,1,3,11,anti_homophones_plus
17,sufl,4,-4.283212591888443,1,4.283212591888443,1,2,7,anti_homophones_plus
18,stuj,4,-5.795245463815989,1,5.795245463815989,1,0,2,anti_homophones_plus
19,p@d@,4,-4.248668347549502,2,4.248668347549502,1,1,12,anti_homophones_plus
20,RoS°l5,6,-9.26405770329086,3,9.26405770329086,1,0,0,anti_homophones_plus
21,§gleRijE,8,-10.294856468865538,4,10.294856468865538,1,0,0,anti_homophones_plus
22,Rwaz,4,-5.352278529743939,1,5.352278529743939,1,1,6,anti_homophones_plus
