,word,num_phones,prob,num_sylls_est,surprisal,lexicon,num_homophones,neighborhood_size,mode
0,bu4fang2,8,-5.328561812595454,2,5.328561812595454,1,2,8,anti_homophones
1,zhi2,4,-3.022664994619559,1,3.022664994619559,1,6,9,anti_homophones
2,nan2jL1,7,-5.565872536293895,2,5.565872536293895,1,1,2,anti_homophones
3,sha1,4,-3.212941278285825,1,3.212941278285825,1,2,13,anti_homophones
4,chV4bLn4,8,-6.48290590944564,2,6.48290590944564,1,0,2,anti_homophones
5,wE2zhV4ma2,10,-10.109284950792771,3,10.109284950792771,1,0,0,anti_homophones
6,wu4,3,-3.0829931711722938,1,3.0829931711722938,1,7,21,anti_homophones
7,xW3,3,-3.1772831669657537,1,3.1772831669657537,1,2,12,anti_homophones
8,hA3gUn3,7,-5.97414857206898,2,5.97414857206898,1,0,0,anti_homophones
9,li4,3,-2.772266235581271,1,2.772266235581271,1,7,25,anti_homophones
10,an4han4,7,-6.704327131605385,2,6.704327131605385,1,1,2,anti_homophones
11,ping2qLng4,10,-6.839185174333861,2,6.839185174333861,1,0,0,anti_homophones
12,bLn4,4,-2.937183179229957,1,2.937183179229957,1,12,12,anti_homophones
13,ling4,5,-3.3072932685875123,1,3.3072932685875123,1,4,18,anti_homophones
14,gong2ze1zhi3,12,-11.527561746539288,3,11.527561746539288,1,0,0,anti_homophones
15,rong1,5,-3.6808044177705117,1,3.6808044177705117,1,1,14,anti_homophones
16,A1jUn4shu4cheng2,16,-12.17409060266615,4,12.17409060266615,1,0,0,anti_homophones
17,wu2dong2nu2ling4,16,-11.976683729372867,4,11.976683729372867,1,0,0,anti_homophones
18,yQ1zhQ4,7,-6.433791673840266,2,6.433791673840266,1,0,3,anti_homophones
19,qi3zu3,6,-6.392499214945688,2,6.392499214945688,1,0,3,anti_homophones
20,ju1shV3wan4,11,-8.774767955584052,3,8.774767955584052,1,0,0,anti_homophones
21,shI4,4,-3.2931857679975587,1,3.2931857679975587,1,2,11,anti_homophones
22,pLn4zhi4,8,-5.852544148953254,2,5.852544148953254,1,0,3,anti_homophones
23,sheng1,6,-2.886060915015179,1,2.886060915015179,1,7,9,anti_homophones
24,nLn2jun1ge2,11,-9.06811464925018,3,9.06811464925018,1,0,0,anti_homophones
25,yin3,4,-3.100498674953687,1,3.100498674953687,1,5,12,anti_homophones
26,leng1xi1ti3,11,-9.100416525932186,3,9.100416525932186,1,0,0,anti_homophones
27,tA2,3,-3.2997983380506777,1,3.2997983380506777,1,5,16,anti_homophones
28,bLn4min2xin4,12,-9.531230327878227,3,9.531230327878227,1,0,0,anti_homophones
29,nv3,3,-3.2226849019213795,1,3.2226849019213795,1,4,9,anti_homophones
30,te4,3,-3.8965334785825787,1,3.8965334785825787,1,1,16,anti_homophones
31,xi4yUn3kP4,10,-9.941311690009197,3,9.941311690009197,1,0,0,anti_homophones
32,fu4hV2,6,-6.99243694126454,2,6.99243694126454,1,0,4,anti_homophones
33,dong2ren2,9,-5.513695438290075,2,5.513695438290075,1,0,4,anti_homophones
34,sha1dA4,7,-5.849233254732048,2,5.849233254732048,1,0,3,anti_homophones
35,chen4,5,-3.6760204824338225,1,3.6760204824338225,1,1,10,anti_homophones
36,mu4kI4,6,-6.753529148463438,2,6.753529148463438,1,0,1,anti_homophones
37,zhan4,5,-3.3359880456170967,1,3.3359880456170967,1,3,11,anti_homophones
38,pan2,4,-3.487886489264372,1,3.487886489264372,1,2,14,anti_homophones
39,fa3,3,-3.1276640722493267,1,3.1276640722493267,1,6,16,anti_homophones
40,chUn3,5,-3.7078881959118557,1,3.7078881959118557,1,2,9,anti_homophones
41,yin1,4,-2.946152164151318,1,2.946152164151318,1,9,12,anti_homophones
42,shen1,5,-3.1897230045727385,1,3.1897230045727385,1,6,11,anti_homophones
43,ru2,3,-3.737372912711271,1,3.737372912711271,1,3,16,anti_homophones
44,wang2ning1,10,-8.093395617028314,2,8.093395617028314,1,0,0,anti_homophones
45,shi4,4,-2.431285353536701,1,2.431285353536701,1,23,14,anti_homophones
