,word,num_phones,prob,num_sylls_est,surprisal,lexicon,num_homophones,neighborhood_size,mode
0,zhO1yi3lA3qK2,13,-11.474633944190781,4,11.474633944190781,1,0,0,neutral
1,zhan4li3,8,-5.507302282181631,2,5.507302282181631,1,0,2,neutral
2,yV3ge2,6,-5.882535961311303,2,5.882535961311303,1,0,2,neutral
3,shang3yang2zhang1,17,-9.867999121209634,3,9.867999121209634,1,0,0,neutral
4,fa1shang3qi2,12,-8.366736253731663,3,8.366736253731663,1,0,0,neutral
5,sheng2,6,-3.0804868554252307,1,3.0804868554252307,1,14,8,neutral
6,zu3jL3,6,-6.609377743050203,2,6.609377743050203,1,0,1,neutral
7,lLn3,4,-3.5895461433889597,1,3.5895461433889597,1,5,14,neutral
8,cO2zhu2,7,-7.47662547234448,2,7.47662547234448,1,0,0,neutral
9,tW2wE4,6,-4.556774225861096,2,4.556774225861096,1,0,1,neutral
10,tan4,4,-3.3713003859577353,1,3.3713003859577353,1,12,17,neutral
11,tW3dong4yan3,12,-8.128951990831164,3,8.128951990831164,1,0,0,neutral
12,dan3qi4pQ3,10,-9.141558872107247,3,9.141558872107247,1,0,0,neutral
13,zhQ1sha4,8,-7.04683582005487,2,7.04683582005487,1,0,2,neutral
14,bA2xC3,6,-4.786762949898178,2,4.786762949898178,1,3,0,neutral
15,lin2,4,-3.269420006452834,1,3.269420006452834,1,8,11,neutral
16,chong2,6,-3.66320990320496,1,3.66320990320496,1,4,9,neutral
17,yi4yUn2,7,-4.39111622593936,2,4.39111622593936,1,0,9,neutral
18,fE1dLn3,7,-5.254777299293971,2,5.254777299293971,1,1,3,neutral
19,zong3shU3lK2,12,-8.829479824539671,3,8.829479824539671,1,0,0,neutral
20,zhQ4,4,-3.2246336540195393,1,3.2246336540195393,1,12,10,neutral
21,jing3,5,-3.10764937579647,1,3.10764937579647,1,14,12,neutral
22,fen1yun4dan1,12,-9.513693717616128,3,9.513693717616128,1,0,0,neutral
23,shan1qK1,8,-5.521187733800291,2,5.521187733800291,1,0,1,neutral
24,shan1kV3jW3,11,-9.17900253861485,3,9.17900253861485,1,0,0,neutral
25,mQ4yi3,6,-5.652358621070718,2,5.652358621070718,1,0,5,neutral
26,zheng4,6,-3.2293948289089838,1,3.2293948289089838,1,11,9,neutral
27,yin2li4,7,-5.429912486101782,2,5.429912486101782,1,0,5,neutral
28,dA4wA4,6,-6.178697250459894,2,6.178697250459894,1,0,4,neutral
29,yong4si1,8,-6.060616985183002,2,6.060616985183002,1,0,1,neutral
30,er4dan1xLng4,12,-8.076764657919638,3,8.076764657919638,1,0,0,neutral
31,qK3yi3lA4,9,-8.96364957018401,3,8.96364957018401,1,0,0,neutral
32,lW3qW2,6,-6.691562373552884,2,6.691562373552884,1,0,1,neutral
33,bu4xun1,7,-6.435199500263881,2,6.435199500263881,1,0,4,neutral
34,lLn2mLn2,8,-5.398226378655693,2,5.398226378655693,1,0,1,neutral
35,yang3,5,-3.1545695203777653,1,3.1545695203777653,1,10,11,neutral
36,wE2du2,6,-4.632844377011083,2,4.632844377011083,1,1,2,neutral
37,zi4zA4,6,-4.654872681840039,2,4.654872681840039,1,3,4,neutral
38,gan4,4,-3.6185725574246113,1,3.6185725574246113,1,1,21,neutral
