,word,num_phones,prob,num_sylls_est,surprisal,lexicon,num_homophones,neighborhood_size,mode
0,qi1,3,-3.054467036944016,1,3.054467036944016,1,3,21,anti_homophones_plus
1,yV3,3,-3.007770281719251,1,3.007770281719251,1,16,13,anti_homophones_plus
2,lLn2,4,-3.231825015982462,1,3.231825015982462,1,2,12,anti_homophones_plus
3,zhu3yi1chi2,11,-7.978150248012435,3,7.978150248012435,1,0,0,anti_homophones_plus
4,xi1,3,-2.956308838738689,1,2.956308838738689,1,6,21,anti_homophones_plus
5,dV4jLn1,7,-5.925998364229409,2,5.925998364229409,1,0,5,anti_homophones_plus
6,yV2qUn2xLng1,12,-8.509236515200701,3,8.509236515200701,1,0,0,anti_homophones_plus
7,jin1wE2ru3,10,-9.918595870751615,3,9.918595870751615,1,0,0,anti_homophones_plus
8,zhi3jW3,7,-5.86870410606595,2,5.86870410606595,1,0,1,anti_homophones_plus
9,chu1jLng2xi4,12,-9.04774949746181,3,9.04774949746181,1,0,0,anti_homophones_plus
10,zhong2,6,-3.2282447735314475,1,3.2282447735314475,1,6,13,anti_homophones_plus
11,da3cQ3bu4kan1,13,-10.72586672571863,4,10.72586672571863,1,0,0,anti_homophones_plus
12,jin1fang4,9,-6.018935932765396,2,6.018935932765396,1,0,3,anti_homophones_plus
13,zhong4zhUn1,11,-6.72550903265089,2,6.72550903265089,1,0,0,anti_homophones_plus
14,ban1fE1she4yang4,16,-12.368325361189408,4,12.368325361189408,1,0,0,anti_homophones_plus
15,hUn4tV2ren2,11,-8.07525054544033,3,8.07525054544033,1,0,0,anti_homophones_plus
16,bW1ke4,6,-5.5295537858494495,2,5.5295537858494495,1,0,1,anti_homophones_plus
17,gong1,5,-2.991323336350949,1,2.991323336350949,1,4,19,anti_homophones_plus
18,qi2,3,-3.208238169526441,1,3.208238169526441,1,3,19,anti_homophones_plus
19,mLn4zhen1,9,-6.278972885085479,2,6.278972885085479,1,0,1,anti_homophones_plus
20,hQ3hu4,6,-5.384719994686008,2,5.384719994686008,1,1,10,anti_homophones_plus
21,xL4yi3ma1,9,-9.516604165485457,3,9.516604165485457,1,0,0,anti_homophones_plus
22,fen1,4,-3.173743711385531,1,3.173743711385531,1,7,10,anti_homophones_plus
23,gA3hO3meng2,11,-9.416612480450322,3,9.416612480450322,1,0,0,anti_homophones_plus
24,qi3,3,-3.061945825584553,1,3.061945825584553,1,6,18,anti_homophones_plus
25,lQ3ju1ye4hong1,14,-12.572014618943303,4,12.572014618943303,1,0,0,anti_homophones_plus
26,jK4,3,-3.1129829304184886,1,3.1129829304184886,1,6,18,anti_homophones_plus
27,shi2mLn3,8,-6.40231848039756,2,6.40231848039756,1,0,0,anti_homophones_plus
28,qK1,3,-3.6359090598579606,1,3.6359090598579606,1,0,7,anti_homophones_plus
29,zhan2zi4fan4,12,-9.886628255074632,3,9.886628255074632,1,0,0,anti_homophones_plus
30,shI3yu3,7,-5.050325480994242,2,5.050325480994242,1,0,4,anti_homophones_plus
31,wan2,4,-3.401762411373128,1,3.401762411373128,1,3,17,anti_homophones_plus
32,zhi1fang4pW4,12,-9.158778717184072,3,9.158778717184072,1,0,0,anti_homophones_plus
33,ning2,5,-3.981126925875104,1,3.981126925875104,1,1,17,anti_homophones_plus
34,cheng4,6,-3.403811118250595,1,3.403811118250595,1,3,8,anti_homophones_plus
35,fang4,5,-3.0846549282018074,1,3.0846549282018074,1,8,16,anti_homophones_plus
36,wen2ye4hu4,10,-8.414035556065944,3,8.414035556065944,1,0,1,anti_homophones_plus
37,mE2,3,-3.2947154169477755,1,3.2947154169477755,1,8,18,anti_homophones_plus
38,zhi4,4,-2.6852124721018464,1,2.6852124721018464,1,21,20,anti_homophones_plus
39,fa3,3,-3.1276640722493267,1,3.1276640722493267,1,4,10,anti_homophones_plus
40,fE2gI1,6,-5.922081329382586,2,5.922081329382586,1,0,1,anti_homophones_plus
41,xLn4ren2,8,-5.085737888736216,2,5.085737888736216,1,1,4,anti_homophones_plus
42,bi4da4,6,-6.5689721532778895,2,6.5689721532778895,1,0,3,anti_homophones_plus
43,jK4ming2qi1,11,-8.475648209342637,3,8.475648209342637,1,0,0,anti_homophones_plus
44,tan1po4sheng2,13,-10.02306958454485,3,10.02306958454485,1,0,0,anti_homophones_plus
45,yin1pin3xW3xin4,15,-11.750783692077363,4,11.750783692077363,1,0,0,anti_homophones_plus
46,she4,4,-3.0993745258664096,1,3.0993745258664096,1,6,22,anti_homophones_plus
47,sheng2sUn4ri4,13,-9.495222448218385,3,9.495222448218385,1,0,0,anti_homophones_plus
48,zhe5,4,-3.6027651167514203,1,3.6027651167514203,1,1,4,anti_homophones_plus
49,qi1fan4jL1,10,-9.420753636782567,3,9.420753636782567,1,0,0,anti_homophones_plus
50,mu4xin1peng1,12,-8.927236607609819,3,8.927236607609819,1,0,0,anti_homophones_plus
51,hI4yUn2,7,-5.27911924988673,2,5.27911924988673,1,0,10,anti_homophones_plus
52,fa3fa3,6,-6.068291265521866,2,6.068291265521866,1,0,2,anti_homophones_plus
53,xLn3zA4,7,-6.816523510138767,2,6.816523510138767,1,0,1,anti_homophones_plus
54,shi2,4,-2.7337174031526787,1,2.7337174031526787,1,17,13,anti_homophones_plus
55,yu4he2,6,-5.415169090123538,2,5.415169090123538,1,2,7,anti_homophones_plus
56,feng2dQ4,8,-5.658887157417136,2,5.658887157417136,1,0,2,anti_homophones_plus
