,word,num_phones,prob,num_sylls_est,surprisal,lexicon,num_homophones,neighborhood_size,mode
0,pr@n,4,-4.828834604561993,1,4.828834604561993,1,1,7,anti_homophones_plus
1,kVplIk1t@lI,11,-8.85757426241607,5,8.85757426241607,1,0,0,anti_homophones_plus
2,pruf,4,-4.136879592751258,1,4.136879592751258,1,3,10,anti_homophones_plus
3,Ingridj@ns,10,-6.8034911489047865,3,6.8034911489047865,1,0,0,anti_homophones_plus
4,z5Ql@_I,7,-4.826897995237127,4,4.826897995237127,1,0,0,anti_homophones_plus
5,l2flIsnIs,9,-5.156226753619211,3,5.156226753619211,1,1,0,anti_homophones_plus
6,Imp3snP,7,-4.755548589420965,2,4.755548589420965,1,0,0,anti_homophones_plus
7,pUlI,4,-4.67172740487228,2,4.67172740487228,1,1,12,anti_homophones_plus
8,p{nd@zEn@f5bj@,14,-11.153414579522632,6,11.153414579522632,1,0,0,anti_homophones_plus
9,f$R,3,-4.7257285889689,1,4.7257285889689,1,0,27,anti_homophones_plus
10,t3dl@R,6,-5.711801420724669,2,5.711801420724669,1,0,1,anti_homophones_plus
11,dr2n,4,-4.967957241854817,1,4.967957241854817,1,0,16,anti_homophones_plus
12,pl1n@ntlI,9,-5.810033733366463,3,5.810033733366463,1,0,0,anti_homophones_plus
13,dQdP,4,-4.763478630030539,1,4.763478630030539,1,2,7,anti_homophones_plus
14,fizHsI,6,-6.288321240418248,2,6.288321240418248,1,0,0,anti_homophones_plus
15,ElIvIN,6,-5.41106714802795,3,5.41106714802795,1,0,2,anti_homophones_plus
16,m$s,3,-4.61505977687483,1,4.61505977687483,1,1,18,anti_homophones_plus
17,wQd,3,-4.59801942851579,1,4.59801942851579,1,2,31,anti_homophones_plus
18,l{t@R,5,-4.629089190604544,2,4.629089190604544,1,0,15,anti_homophones_plus
19,@dh7R,5,-4.841130407411722,2,4.841130407411722,1,0,0,anti_homophones_plus
20,kQpIbUts,8,-5.990390373590235,3,5.990390373590235,1,0,0,anti_homophones_plus
21,fl{_@l1t,8,-5.048957370079024,3,5.048957370079024,1,0,0,anti_homophones_plus
22,h$sm@n,6,-4.800311493030528,2,4.800311493030528,1,1,0,anti_homophones_plus
23,itIQrIst@b1tm@n2l,17,-16.537849443836237,8,16.537849443836237,1,0,0,anti_homophones_plus
24,ImplIk1SH,9,-5.016757806797597,3,5.016757806797597,1,0,0,anti_homophones_plus
25,nIpIkS@nP,9,-7.605449543335442,3,7.605449543335442,1,0,0,anti_homophones_plus
26,EksIbIl@tI,10,-4.70483781791715,5,4.70483781791715,1,0,0,anti_homophones_plus
27,fEz,3,-4.64637994290564,1,4.64637994290564,1,1,9,anti_homophones_plus
28,InmES,5,-4.978183062226321,2,4.978183062226321,1,2,1,anti_homophones_plus
29,rIpEndjUl5nI,12,-9.622815942996276,5,9.622815942996276,1,0,0,anti_homophones_plus
30,jQtswUm@nt,10,-5.824112792725809,3,5.824112792725809,1,0,1,anti_homophones_plus
31,brIsk,5,-4.7057498583308455,1,4.7057498583308455,1,1,5,anti_homophones_plus
